,State,Plant,County,Latitude,Longitude,Nameplate capacity (MW),Balancing Authority,Emission intensity (ton/MWh)
72,IL,Newton,Jasper,38.9361,-88.2781,1234.8,"Midcontinent Independent Transmission System Operator, Inc..",1.041
73,IL,Powerton,Tazewell,40.5408,-89.6786,1785.6,"PJM Interconnection, LLC",1.284995
74,IL,Prairie State Generating Station,St Clair,38.279167,-89.666944,1766,"Midcontinent Independent Transmission System Operator, Inc..",1.14707
75,IL,SIUC,Jackson,37.711944,-89.215,5.1,"Midcontinent Independent Transmission System Operator, Inc..",0.60036
76,IL,Tate & Lyle,Macon,39.84919,-88.931944,64.8,"Midcontinent Independent Transmission System Operator, Inc..",0.516045
77,IL,Waukegan,Lake,42.3833,-87.8133,914.7,"PJM Interconnection, LLC",1.19869
78,IL,Will County,Will,41.6334,-88.0629,1268.8,"PJM Interconnection, LLC",1.24239
79,IN,A B Brown Generating Station,Posey,37.9053,-87.715,706.8,"Midcontinent Independent Transmission System Operator, Inc..",1.22645
80,IN,Alcoa Allowance Management Inc,Warrick,37.915,-87.3328,822.8,"Midcontinent Independent Transmission System Operator, Inc..",1.16218
81,IN,Cayuga,Vermillion,39.9242,-87.4244,1184.9,"Midcontinent Independent Transmission System Operator, Inc..",1.028735
82,IN,Clifty Creek,Jefferson,38.7378,-85.4206,1303.8,Ohio Valley Electric Corporation,1.10331
83,IN,Edwardsport Generating Station,Knox,38.8067,-87.2472,948.7,"Midcontinent Independent Transmission System Operator, Inc..",0.85981
84,IN,F B Culley Generating Station,Warrick,37.9111,-87.3275,414.9,"Midcontinent Independent Transmission System Operator, Inc..",1.30681
85,IN,Gibson,Gibson,38.372222,-87.765833,3339.5,"Midcontinent Independent Transmission System Operator, Inc..",1.012475
86,IN,IPL - Petersburg Generating Station,Pike,38.5281,-87.2525,2154.8,"Midcontinent Independent Transmission System Operator, Inc..",1.116295
87,IN,Merom,Sullivan,39.0694,-87.5108,1080,"Midcontinent Independent Transmission System Operator, Inc..",1.06217
88,IN,Michigan City Generating Station,LaPorte,41.7208,-86.9086,680,"Midcontinent Independent Transmission System Operator, Inc..",1.1343
89,IN,R Gallagher,Floyd,38.2636,-85.8381,600,"Midcontinent Independent Transmission System Operator, Inc..",1.09953
90,IN,R M Schahfer Generating Station,Jasper,41.2164,-87.0261,2201.4,"Midcontinent Independent Transmission System Operator, Inc..",1.301155
91,IN,Rockport,Spencer,37.9256,-87.0372,2600,"PJM Interconnection, LLC",1.047755
92,IN,Whitewater Valley,Wayne,39.8028,-84.8953,93.9,"PJM Interconnection, LLC",1.401605
93,KS,Holcomb,Finney,37.9308,-100.9725,348.7,Southwest Power Pool,1.177225
94,KS,Jeffrey Energy Center,Pottawatomie,39.286453,-96.117231,2160,Southwest Power Pool,1.15543
95,KS,La Cygne,Linn,38.3481,-94.6456,1598.9,Southwest Power Pool,1.128965
96,KS,Lawrence Energy Center,Douglas,39.0072,-95.269167,604,Southwest Power Pool,1.17578
97,KS,Nearman Creek,Wyandotte,39.1681,-94.6975,671,Southwest Power Pool,1.204955
